Movie_Title,Distributor,Release_Date,Nationality,Director,Actors,Screens,Cumulative_Audience,Genre
Movie_Title,Distributor,Release_Date,Nationality,Director,Actors,Screens,Cumulative_Audience,Genre
스즈메의 문단속,(주)쇼박스,2023-03-08,일본,신카이 마코토,"하라 나노카,마츠무라 호쿠토",1572.0,5576058.0,애니메이션
밀수,(주)넥스트엔터테인먼트월드(NEW),2023-07-26,한국,류승완,"김혜수,염정아,조인성,박정민,김종수,고민시,김재화,박준면,박경혜,주보비,곽진석,정도원,신민재,김충길,이정수,안세호,최종원,김원해,김경덕,윤병희,김기천,윤종구,신영옥,홍성오,김준식,이상희,신삼봉,구본웅,백주희,전현숙,이선희,이진희,신우희,백승철,윤대열,이태형,정재원,장기하,진경,윤경호",1932.0,5143261.0,액션
더 퍼스트 슬램덩크,(주)넥스트엔터테인먼트월드(NEW),2023-01-04,일본,이노우에 다케히코,,1060.0,4877994.0,애니메이션
노량: 죽음의 바다,"롯데컬처웍스(주)롯데엔터테인먼트,(주)에이스메이커무비웍스",2023-12-20,한국,김한민,"최단비,김윤석,백윤식,정재영,허준호,김성규,이규형,이무생,최덕문,안보현,박명훈,박훈,문정희,정기섭,유성주,안성봉,안세호,이성욱,오누리,주석태,최광제,최정태,김중희,안성기,여진구,이제훈,박용우,김민상,공명,남명렬,남경읍,배한성,김재영,송요셉,김효민,강성락,이건록,노형원,임일규,허재호,한우진,이재한,강신구,이태형,김형석,최돈학,이지영,이상호,전운종,한대훈,정대경,고해성,남상우,정영록,이재우,고기영,문바롬,이동희,김용준,손대민,윤상영,박형준,이규탁,김범수,박상원,진범일,서한돌,조성국,이시안,서대건,정시훈,김시우,김준석,박성현,김형록,황성웅,위민국,이민수,김진형,윤현승,남태우,우혁,김무섭,구본혁,채강,채원우,김동환,한재학,정동근,지상우,송치훈,김태응,강민태,박웅선,강수호,박현욱,김서준,황재운,이웅규,박범규,김시국,서현재,김백겸,공지삵,강태우,이승헌,함진성,이동현,이원희,박누가,손수호,최기표,황민혁,정하영,신형근,정유준,서정민,정민혁,김태훈,정종훈,김서빈,조현수,윤영진,하영진,정민철,김명수,양동혁,박성현,정승현,백경선,임성민,엄기영,박인국,유명환,김민수,오영철,최지현,오동훈,윤혁진,민주호,김동형,이창균,김경훈,김진욱,홍기주,이종섭,오창후,허재욱,박상준,허태경,안준호,조재현,최지환,문형돈,오지훈,이시헌,박원진,한지은,신재영,송광주,장루이,현서영,신치영,황민형,김한상,장유화,연원모,김지안,석예린,권지희,문정환,변봉식,박광복,박선애",2196.0,4573051.0,"사극,액션"
헌트,플러스엠 엔터테인먼트,2022-08-10,한국,이정재,"장재혁,이상혁,오동훈,이지영,이정재,정우성,전혜진,허성태,고윤정,김종수,정만식,임형국,정경순,정재성,송영창,강경헌,임성재,정성모,손성호,김학선,오만석,김문찬,박건우,이채은,김윤도,송덕호,이서한,장서경,김찬형,송철호,김형범,경성환,윤정섭,최우준,정재현,김효준,차래형,박중근,홍성덕,문정대,이도국,이한주,고서희,손경원,이태형,조진결,고경만,김호준,김은우,정종우,박민이,윤대열,김완수,김결,김덕주,민경옥,김송일,이가경,차우진,박민정,옥주리,조광유,박도영,조혜린,박병관,이도헌,이주안,손승범,장재혁,박인국,문유성,김동형,김시원,배정환,이시안,정상균,박영준,최기표,김재환,남열,태윤,박형준,백승우,이찬희,전현석,장나라,이웅규,진가민,허윤,권민경,이재원,김의신,조영미,최은애,백경윤,박서희,박민정,김기태,김재환,김한솔,서문호,여이레,이도군,홍지원,황정민,이성민,유재명,박성웅,조우진,김남길,주지훈,정용식,김동규,김동훈,김명선,최민,권은성,박윤희,이도군",1625.0,4352513.0,"액션,드라마"
가디언즈 오브 갤럭시: Volume 3,월트디즈니컴퍼니코리아 유한책임회사,2023-05-03,미국,제임스 건,"크리스 프랫,조 샐다나,데이브 바티스타,카렌 길런,폼 클레멘티에프,빈 디젤,브래들리 쿠퍼,윌 폴터",1819.0,4209250.0,액션
미션 임파서블: 데드 레코닝 PART ONE,롯데컬처웍스(주)롯데엔터테인먼트,2023-07-12,미국,크리스토퍼 맥쿼리,"톰 크루즈,헤일리 앳웰,빙 라메스,사이먼 페그,레베카 퍼거슨,바네사 커비,에사이 모랄레스,폼 클레멘티에프",2437.0,4022291.0,"액션,스릴러,어드벤처"
콘크리트 유토피아,롯데컬처웍스(주)롯데엔터테인먼트,2023-08-09,한국,엄태화,"이병헌,박서준,박보영,김선영,김도윤,박지후,김학선,공민정,엄태구,정영기,오희준,김준배,정혜윤,이서환,강애심,이효제,김시운,김병순,이선희,권은성,강일,곽자형,최영도,김용준,김동곤,남진복,변진수,곽민규,김홍국,황정남,김희상,손민석,전영,정은경,배기범,주인영,이지해,이은주,박주용,무현,한승우,김현창,정태영,백승진,홍성오,정재민,김지산,라호찬,김예은,김상동,김봉희,김자미,오은지,이자령,오민정,김태준,유휴인,민영,라희선,김문학,이승원,공재민,추연규,허선행,김경덕,이석형,나철,최솔희,현승진,서우진,천윤경,김동현,박지홍,정지우,홍승균,이중현,박경찬,김가영,이일진,이서아,박종환,장선,김권후,김선경,하은서,변중희,신다영,김지성,윤재국,김영건,강종현,홍성일,김연지,권라희,유이찬,양소희,이재준,진유찬,김태이,양희원,김효경,강준석,이상연,김테이,오수진",1731.0,3849244.0,"드라마,기타"
웡카,워너브러더스 코리아(주),2024-01-31,미국,폴 킹,"티모시 샬라메,칼라 레인,올리비아 콜맨,톰 데이비스,휴 그랜트,샐리 호킨스",1753.0,3531560.0,"판타지,드라마"
올빼미,(주)넥스트엔터테인먼트월드(NEW),2022-11-23,한국,안태진,"류준열,유해진,최무성,조성하,박명훈,김성철,안은진,조윤서,김상욱,이주원,김예은,정석원,류성현,김승태,신문성,안성봉,문승배,김인권,김채원,김도원,양희명,강진휘,박희은,김샛별,김재현,류석호,손경원,송동환,강덕중,안세호,배용근,류지훈,조경현,신정원,황보정일,윤진영,윤준열,정동근,최돈학,서인혁,고한민,장태민,서문호,이동희,노정현,김설,손문영,김태준,안석현,권병철,고덕원,이정훈,김현정,장윤정,류진,남시훈,이태호,김현우,한수빈,한여름,설옥남,김수민,이정우,전민옥,전동현,권병철,황영윤,홍의정,이충식,전기수,최춘범,이수민,전기수",1541.0,3329634.0,스릴러
영웅,(주)씨제이이엔엠,2022-12-21,한국,윤제균,"정성화,김고은,나문희,조재윤,배정남,이현우,박진주,권라희,지웅배",1314.0,3275218.0,"드라마,뮤지컬"
오펜하이머,유니버설픽쳐스인터내셔널 코리아(유),2023-08-15,미국,크리스토퍼 놀란,"킬리언 머피,에밀리 블런트,맷 데이먼,로버트 다우니 주니어,플로렌스 퓨,조쉬 하트넷,케이시 애플렉,라미 말렉,케네스 브래너",1636.0,3237793.0,"스릴러,드라마"
쥬라기 월드: 도미니언,유니버설픽쳐스인터내셔널 코리아(유),2022-06-01,미국,콜린 트레보로우,"크리스 프랫,브라이스 달라스 하워드,드완다 와이즈,로라 던,제프 골드블럼,샘 닐",2218.0,2837410.0,"액션,어드벤처"
마녀(魔女) Part2. The Other One,(주)넥스트엔터테인먼트월드(NEW),2022-06-15,한국,박훈정,"신시아,박은빈,서은수,진구,성유빈,조민수,차순배,저스틴 하비,이종석,김다미,변서윤,채원빈,서이라,정라엘,김기해,장재영,정예진,모그,신영옥,김대흥,신희철,정환욱,우강민,최홍락,홍원표,유태근,윤기창,오기덕,이규영,한재웅,문동식,노승윤,고남호,이준,임승준,장남수,최동구,김한솔,공경배,서문호,이선호,한상경,이상렬,조광욱,정운,조창원,오원혁,김민규,김소민,김벼리,장지호,엄태구,김용우",1796.0,2806501.0,액션
토르: 러브 앤 썬더,월트디즈니컴퍼니코리아 유한책임회사,2022-07-06,미국,타이카 와이티티,"크리스 헴스워스,나탈리 포트만,테사 톰슨,크리스찬 베일,타이카 와이티티,크리스 프랫",2143.0,2716306.0,"액션,어드벤처,판타지"
슈퍼 마리오 브라더스,유니버설픽쳐스인터내셔널 코리아(유),2023-04-26,미국,,"크리스 프랫,안야 테일러 조이,잭 블랙,찰리 데이",1576.0,2395519.0,"애니메이션,어드벤처,코미디"
미니언즈2,유니버설픽쳐스인터내셔널 코리아(유),2022-07-20,미국,카일 발다,"피에르 꼬팽,스티브 카렐,타라지 P. 헨슨",1394.0,2269024.0,"애니메이션,어드벤처,코미디"
30일,(주)마인드마크,2023-10-03,한국,남대중,"강하늘,정소민,조민수,김선영,황세인,윤경호,이상진,원우,송해나,엄지윤,임철형,임진택,김진만,장지아,서한결,전노민,태인호,강지영,정형석,이원욱,학진,김선화,윤세웅,나호숙,홍준우,채주아,조영지,노정현,정상우,이수빈,이나현,심우성,강병화,이선우,류강주,문호진,홍윤희,이동현,구유진,홍석빈,윤지욱,남선중,문승현,차지현,이윤정,이주은,정윤겸,권정윤,이건창,이건창,조용환,박청용,유황조,정진웅,김태수,김동완,남훈철",1226.0,2165585.0,코미디
블랙 팬서: 와칸다 포에버,월트디즈니컴퍼니코리아 유한책임회사,2022-11-09,미국,라이언 쿠글러,"레티티아 라이트,루피타 뇽오,다네이 거라이라,마틴 프리먼,다니엘 칼루야,안젤라 바셋,윈스턴 듀크,테노치 우에르타 메히아",2571.0,2105988.0,"액션,어드벤처,드라마"
비상선언,(주)쇼박스,2022-08-03,한국,한재림,"송강호,이병헌,전도연,김남길,임시완,김소진,박해준,우미화,현봉식,문숙,설인아,권한솔,김보민,김국희,임형국,이열음,임성재,순정,황재훈,이상현,김학선,남명렬,정종열,김호정,이현균,이시원,이일섭,윤세웅,오재균,변우종,조승연,황현빈,박재완,심소연,채송아,진미사,이수미,강지현,신수연,홍하나임,황가희,윤소희,구유정,이지윤,곽민규,전정일,이승준,하정민,박근홍,이예영,서석규,하혜승,김금순,이은희,이동희,조용준,김혁종,조운,김영욱,윤민수,지웅배,구민혁,신현숙,이문빈,조태호,김서연,신승용,김규도,김봉희,양대성,석보배,신민경,용석주,김병만,최솔희,김지우,고경인,최지안,박인지,박희은,정재혁,최영도,정서인,박선임,이종운,이택근,고경희,박크미,이두석,정윤하,오윤수,조범수,문주연,문아람,조진결,송경의,김리승,강말금,성기윤,이화룡,전수지,김창환,손진환,손재협,고용진,조재룡,배현경,변진수,유종연,심우성,민재경,문병주,강내균,전세용,유아름,김이현,박기선,권정민,강영일,이승준,이은주,이태건,김광현,이지수,민효경,전은미,이윤재,서덕인,전두현,권혁,정형석,전형재,송훈,이하은,송원수,송광주,신정아,임정옥,황재열,김진혁,이주영,송형수,김광식,이기동,조대희,최재훈,고유찬,서동복,최은경,차승호,최백규,이의령,성용훈,박선우,민상철,최영민,이대한,이동현,이유진,조영지,김동형,변동욱,오재세,김상일,백승익,오근욱,제성,윤선미,최현아,장준휘,양희명,조강연,권훈,손경원,이해운,정연심,윤재인,박주영,하수호,윤선미,김솔로몬,김지민,김태훈,최필상,기도영,송글송글,정소용,류민하,강준석,안정호,지남혁,김리우,공대유,서혜윤,기환,박예영,김영조,하경민,여민구,강명헌,김연교,신덕호,옥윤중,장서연,임지현,변중희,김도원,김현정,장용희,김한상,신치영,현승진,권일용,김윤희,정지영,박윤희",1734.0,2058869.0,드라마
그대들은 어떻게 살 것인가,메가박스중앙(주),2023-10-25,일본,미야자키 하야오,"스다 마사키,시바사키 코우,키무라 요시노,기무라 타쿠야,산토키 소마,아이묭",1733.0,2015965.0,애니메이션
듄: 파트2,워너브러더스 코리아(주),2024-02-28,미국,드니 빌뇌브,"티모시 샬라메,젠데이아 콜먼,레베카 퍼거슨,조슈 브롤린,오스틴 버틀러,플로렌스 퓨,데이브 바티스타,크리스토퍼 월켄,스티븐 헨더슨,레아 세이두,스텔란 스카스가드,샬롯 램플링,하비에르 바르뎀",1544.0,1999868.0,액션
육사오(6/45),"(주)홈초이스,(주)싸이더스",2022-08-24,한국,박규태,"이학주,고경표,이이경,음문석,박세완,이순원,곽동연,김민호,류승수,윤병희,이준혁,신원호,남도윤,서정우,최민혁,배한솔,정상철,강길준,김건우,김슬민,오병곤,윤지용,박치우,이학주,김관모,홍민기,김민규,김백겸,문경민,박혁진,유병수,이태경,윤지홍,손경표,강운,최현태,서한돌,이동환,구본혁,김진형,송호제,신문선,이건록,이동기,이수,이시안,이지운,정시훈,채원우,최기표,황민혁,황태훈,최원,서지원,오혜금,편한마음,김재민,이종훈,조미초,이예진,정인기,박희진,이현걸,오현수,정용식",1339.0,1981014.0,코미디
존 윅 4,(주)레드아이스 엔터테인먼트,2023-04-12,미국,채드 스타헬스키,"키아누 리브스,로렌스 피쉬번,이안 맥쉐인,빌 스카스가드,견자단",1535.0,1924768.0,액션
천박사 퇴마 연구소: 설경의 비밀,(주)씨제이이엔엠,2023-09-27,한국,김성식,"김영빈,강동원,허준호,이솜,이동휘,김종수,박소이,윤병희,주보비,박경혜,이규호,김원해,박정민,조이현,이정은,박명훈,지수,박지홍,권오철,이동찬,민효경,오현석,박주환,배영란,구시연,전소현,송길호,고재원,김태야,최재옥,김태진,김현준,김승필,장주완,이보람,장우용",1511.0,1916429.0,"판타지,액션"
헤어질 결심,(주)씨제이이엔엠,2022-06-29,한국,박찬욱,"박해일,탕웨이,이정현,고경표,김신영,정영숙,유승목,서현우,정이서,이학주,정소리,신안진,김도연,고민시,차서원,주인영,윤성원,최선자,진용욱,안진상,박정민,박용우,정하담,최대훈,김미화,곽은진,안성봉,김성곤,문순주,현직,한서울,김도담,문정대,유인혜,권혁성,차상도,강경수,유태오,이지하,전성애,이경민,이용녀,김귀례,김도담,유다솜,김민준,김국진,김상현",1374.0,1904147.0,"미스터리,멜로/로맨스"
분노의 질주: 라이드 오어 다이,유니버설픽쳐스인터내셔널 코리아(유),2023-05-17,미국,루이스 리테리어,"빈 디젤,제이슨 모모아,제이슨 스타뎀,샤를리즈 테론,브리 라슨,미셸 로드리게즈,성 강",1731.0,1773483.0,액션
쿵푸팬더4,유니버설픽쳐스인터내셔널 코리아(유),2024-04-10,미국,"마이크 미첼,스테파니 스티네","잭 블랙,아콰피나,비올라 데이비스,더스틴 호프만,제임스 홍,브라이언 크랜스톤,이눈솔",2311.0,1769764.0,"애니메이션,액션,코미디"
교섭,플러스엠 엔터테인먼트,2023-01-18,한국,임순례,"황정민,도기범,현빈,강기영,조윤상",1289.0,1721100.0,드라마
시민덕희,(주)쇼박스,2024-01-24,한국,박영주,"라미란,공명,염혜란,박병은,장윤주,이무생,안은진,김율호",1281.0,1709827.0,드라마
앤트맨과 와스프: 퀀텀매니아,월트디즈니컴퍼니코리아 유한책임회사,2023-02-15,미국,페이튼 리드,"폴 러드,에반젤린 릴리,미셀 파이퍼,마이클 더글라스",2090.0,1551129.0,액션
외계+인 1부,(주)씨제이이엔엠,2022-07-20,한국,최동훈,"류준열,김우빈,김태리,소지섭,염정아,조우진,김의성,이하늬,신정근,이시훈,김대명,최유리,김기천,윤병희,지건우,윤경호,옥자연,이현걸,김해숙,유재명,전여빈,김민서,김민준,이선희,백현주,최광제,심달기,조하이,김루아,김강일,이동희,김찬형,박무염,송영광,이동용,장준휘,한성수,김정한,김왕도,김세홍,김만호,김민체,박광재,박수진,김선혁,김우현,김민환,김재현,김윤도,김진욱,김한솔,문바롬,박수찬,성백인,안재원,이태환,이보영,윤상원,손주환,김단비,지한아,김빛나래,김세정,민정은,배윤민,정지원,지성은,전아희,한수아,고나영,박시연,송지혁,우상기,김선혁,한승윤,박인규,강정민,이희규,변진수,양미선,이병욱,장규식,전경희,강춘선,강차욱,김문조,조한길,류관후,김방선,전은미,정민규,고유준,전진기,이원민,이택근,서석규,한동훈,남지우,박래영,임보현,임우진,신혜지,김지선,김예주,이주혁,하시연,차영주,이수진,김수현,현오봉,김승준,박건률,선인호,이동석,조운성,조진결,한지훈,황인직,이준창,황재운,임재민,강기원,전원표,정예서,민새희,오채은,이하주,유독현,이가현,김현식,박종범,이섭정,강한별,김솔로몬,장석준,이수형",1959.0,1541020.0,"액션,판타지,SF"
잠,롯데컬처웍스(주)롯데엔터테인먼트,2023-09-06,한국,유재선,"정유미,박현정,이선균,김금순,이동찬,오윤수,홍하나임,김국희,이경진,윤경호",1231.0,1470359.0,미스터리
외계+인 2부,(주)씨제이이엔엠,2024-01-10,한국,최동훈,"류준열,김태리,김우빈,이하늬,염정아,조우진,김의성,진선규,신정근,윤경호,이시훈,최미금,위지웅",1390.0,1430121.0,기타
위시,월트디즈니컴퍼니코리아 유한책임회사,2024-01-03,미국,"크리스 벅,폰 비라선손","아리아나 데보스,크리스 파인,알란 터딕",1421.0,1404568.0,애니메이션
달짝지근해: 7510,(주)마인드마크,2023-08-15,한국,이한,"유해진,김희선,차인표,진선규,한선화,정다은,이준혁,이지훈,윤병희,김서현,김기천,현봉식,기소유,이동용,최교식,이승훈,임승범,안주리,정우성,염혜란,임시완,고아성,우현,이호철,김범태,이한솔,김율호,신우희,강지은,김한솔,손정아,김호경,한태은,강충훈,홍성관,이동규,박도영,김범석,구본진,유수연,김경리,김륜호,한태진,김인경,장준현,강다희,장지훈,권귀빈,서정원,양재현,하시연,김민정,채송화,김수진,이왕수,신정만,전두현,우혁",1032.0,1388309.0,코미디
브로커,(주)씨제이이엔엠,2022-06-08,한국,고레에다 히로카즈,"송강호,강동원,배두나,이지은,이주영,임승수,박지용,김선영,이무생,이동휘,김새벽,백현진,오희준,류경수,종호,성유빈,박강섭,김금순,강길우,김예은,류지안,윤슬,장혜민,정종열,최희진,이도군,김도연,최효상,강민지,이가경,양권석,이두석,박종현,전선호,박영준,황도윤,김다나,김수현,배가진,김진아,나경철,이가은혜,송새벽,박해준,정지우,이도군,윤슬",1594.0,1261258.0,드라마
"오늘 밤, 세계에서 이 사랑이 사라진다 해도","(주)바이포엠스튜디오,홀리가든",2022-11-30,일본,미키 타카히로,"미치에다 슌스케,후쿠모토 리코,후루카와 코토네,마츠모토 호노카",439.0,1183536.0,멜로/로맨스
건국전쟁,다큐스토리,2024-02-01,한국,김덕영,,956.0,1173337.0,다큐멘터리
인생은 아름다워,롯데컬처웍스(주)롯데엔터테인먼트,2022-09-28,한국,최국희,"김동국,류승룡,염정아,박세완,옹성우,심달기,정현정,하현상,김다인,유순웅,이세령,김민체,조승연,조수지,변진수,문정대,박경근,김호준,정영섭,박경찬,황정윤,한이진,김영준,남성호,이희규,김진아,전무송,박영규,김혜옥,신신애,김종수,고창석,염혜란,김선영,류현경",1285.0,1172742.0,뮤지컬
드림,플러스엠 엔터테인먼트,2023-04-26,한국,이병헌,"박서준,아이유,김종수,고창석,정승길,이현우,양현민,홍완표,허준석,이하늬,박선웅,박재철,홍지석",1285.0,1128375.0,"코미디,드라마"
비공식작전,(주)쇼박스,2023-08-02,한국,김성훈,"하정우,주지훈,권은성,홍지석,임형국,김응수,김종수,박혁권,유승목,한수현,최정우,장소연",1151.0,1058745.0,드라마
1947 보스톤,"롯데컬처웍스(주)롯데엔터테인먼트,(주)콘텐츠지오,주식회사 에이투지엔터테인먼트",2023-09-27,한국,강제규,"하정우,임시완,배성우,김상호,오희준,박효주,서정연,최규환,송영창,이규복,정영주,박서원,박은빈,임현성,김정철,리민,윤희철,김서현,최종률,김민경,홍성덕,양지수,김환영,황자능,김수혁,서동규,안태준,구자건,이태형,이한종,천재홍,노형원,주영호,윤부진,정미남,조혜선,정익한,박기선,오경주,양소민,조홍우,양지수,최상재,정재윤,진범일",1282.0,1027545.0,드라마
댓글부대,(주)에이스메이커무비웍스,2024-03-27,한국,안국진,"손석구,김성철,김동휘,홍경,이찬유",1228.0,972914.0,"범죄,드라마"
신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,(주)씨제이이엔엠,2023-12-22,일본,오네 히토시,,883.0,945457.0,애니메이션
스파이더맨: 어크로스 더 유니버스,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2023-06-21,미국,호아킴 도스 산토스,"샤메익 무어,헤일리 스테인펠드,제이크 존슨,브라이언 타이리 헨리,오스카 아이삭",1103.0,923007.0,애니메이션
데시벨,(주)마인드마크,2022-11-16,한국,황인호,"김래원,채시은,임병훈,정상훈,이종석,박병은,이상희,김정우,나현우,박성훈,조인우,이종욱,박진수,신윤주,조달환,우지현,노성은,이승훈,윤정열,김건,장세원,안태환,류시안,명홍진,한민엽,권동호,김진환,위민국,김호준,손윤환,오동훈,김창헌,이한주,손승범,이화영,한기찬,정원석,김이준,신영찬,성백인,김동훈,김동연,류필립,정율건,장용희,이영훈,박수현,조강혁,장민수,이후림,이재준,차은우,이민기,김슬기,강경헌,차정환,최미라,한상경,김태훈,유민석,이승준,정우혁,한창현,고태영,김현동,윤지희,윤현길,손광익,박지원,서지원,최현주,임서영,이현하,손서영,이정준,안다정,감승민,윤기창,원시현,김하랑,설윤지,정현지,이윤호,차재현,최윤빈,임병택,정현옥,형영선,정재훈,조한결,김장원,이나민,오은지,전한나,전아희,윤재형,김진우,신치영,정다온,장은주",1152.0,901426.0,액션
정직한 후보2,(주)넥스트엔터테인먼트월드(NEW),2022-09-28,한국,장유정,"라미란,김무열,윤경호,서현우,박진주,윤두준,김용림,신재휘,배해선,성열석,이진희,장원형,박주용,임영우,신윤정,김귀선,하성광,정영기,류경환,정예훈,이혜라,홍승균,한창현,정혜경,한동호,김석영,채수연,박선혜,오재세,김아라,유형준,임태훈,정우혁,유일한,문규민,강숙,조용환,변동욱,홍인아,김태율,황우상,유영복,박재완,오규택,이은석,차정민,오윤수,이명자,이순풍,임용순,김동인,나호숙,김지혜,임승묵,이태영,유준상,김재화,김지성,온주완,윤사봉,나문희,이동찬,이재은",1318.0,899899.0,코미디
아쿠아맨과 로스트 킹덤,워너브러더스 코리아(주),2023-12-20,미국,제임스 완,"제이슨 모모아,패트릭 윌슨,야히아 압둘 마틴 2세,앰버 허드,니콜 키드먼",965.0,878012.0,"액션,어드벤처,판타지"
